Parent,Node,Branch.length,Label,Confidence,Source,Genotype
integer,integer,numeric,character,numeric,character,character
9,9,0.0,Internal-8,NA,NA,NA
9,0,0.01569,ASM3791705v1,NA,Reference,GT1
9,2,0.0026,Internal-2,NA,NA,NA
2,5,0.01367,ASM3794015v1,NA,Reference,GT1
2,13,0.1275,puerto_rico,NA,Reference,GT1
9,12,0.00945,Internal-3,NA,NA,NA
12,3,0.00714,Internal-4,NA,NA,NA
3,6,0.00767,Internal-5,NA,NA,NA
6,15,0.02409,ASM3828429v1,NA,Reference,GT1
6,11,0.01688,Internal-6,NA,NA,NA
11,7,0.01826,ASM3885575v1,NA,Reference,GT2
11,14,0.00888,Influenza_A_virus_LBM330,NA,Reference,GT2
3,10,0.04895,MinION_18_SRR33779449,NA,Readset,GT1
12,8,0.00729,Internal-7,NA,NA,NA
8,4,0.0231,MinION_29_SRR33880304,NA,Readset,GT1
8,1,0.01439,NextSeq_22_SRR34709337,NA,Readset,GT2
